"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.伝票金額","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.価格","D.オーダー日時","D.数量","D.オーダーステータス"
"No:202600200000775","2026/06/01","月","2026/06/01 11:33:07","2026/06/01 13:54:51","0","4230","4230","2","テイクアウト","ロケットナウ","00000003719:ロケットナウうな重梅","4200","2026/06/01 11:33:07","1","20:配膳済"
"No:202600200000775","2026/06/01","月","2026/06/01 11:33:07","2026/06/01 13:54:51","0","4230","4230","2","テイクアウト","ロケットナウ","00000003732:ロケットナウ山椒小袋","30","2026/06/01 11:33:44","1","20:配膳済"
"No:202600200000776","2026/06/01","月","2026/06/01 11:58:03","2026/06/01 12:40:10","2","10300","10300","2","フード","ランチ","00000001984:ランチうな重","5500","2026/06/01 11:58:03","1","20:配膳済"
"No:202600200000776","2026/06/01","月","2026/06/01 11:58:03","2026/06/01 12:40:10","2","10300","10300","2","フード","ランチ","00000001986:黒毛和牛うな重","4800","2026/06/01 11:58:03","1","20:配膳済"
"No:202600200000777","2026/06/01","月","2026/06/01 12:09:09","2026/06/01 13:54:34","0","15600","15600","2","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/01 12:09:09","1","20:配膳済"
"No:202600200000777","2026/06/01","月","2026/06/01 12:09:09","2026/06/01 13:54:34","0","15600","15600","2","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/01 12:09:09","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","出前館","00000002579:Uberうな重松","9400","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","出前館","00000002579:Uberうな重松","9400","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","出前館","00000002579:Uberうな重松","9400","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","出前館","00000002579:Uberうな重松","9400","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/01 13:37:05","1","20:配膳済"
